Gear Type,Waypoint,Set Time,Pull time,Set Time,DO (mg/L),Temp ©,Turbidity (cm),Species,Length,Weight,Tag Number,Second Tag,Pannel Number,Bead Color,Mortality 0=Dead 1=Alive 
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Gizzard Shad,146,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Gizzard Shad,139,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Gizzard Shad,135,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Gizzard Shad,156,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Gizzard Shad,159,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Threadfin Shad,141,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Threadfin Shad,147,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Threadfin Shad,145,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Threadfin Shad,146,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Threadfin Shad,157,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Threadfin Shad,149,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Threadfin Shad,148,,,,4,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Channel Catfish,706,4.4,13538,13537,5,,1
